avg_temp,country_name
26.85,Brunei
26.8,Cambodia
26.45,Singapore
26.3,Thailand
25.85,Indonesia
25.4,Malaysia
25.25,Timor Leste
24.45,Vietnam
22.8,Laos
13.05,Myanmar
