area,country_name,population
"1,904,569",Indonesia,"273,523,615 "
"331,212",Vietnam,"97,338,579 "
"513,120",Thailand,"69,799,978 "
"676,578",Myanmar,"54,409,800 "
"330,803",Malaysia,"32,365,999 "
"181,035",Cambodia,"16,718,965 "
"236,800",Laos,"7,275,560 "
710,Singapore,"5,850,342 "
"14,874",Timor Leste,"1,318,445 "
"5,765",Brunei,"437,479 "
