country_name,median_age
Thailand,37.7
Singapore,34.6
Vietnam,30.5
Brunei,30.2
Indonesia,30.2
Malaysia,28.5
Myanmar,28.2
Cambodia,25.3
Laos,23
Timor Leste,18.9
