country_name,gdp
Indonesia,"$1,015,420,587,285"
Thailand,"$455,302,682,986"
Singapore,"$323,907,234,412"
Malaysia,"$314,710,259,511"
Vietnam,"$223,779,865,815"
Myanmar,"$67,068,745,521"
Cambodia,"$22,158,209,503"
Laos,"$16,853,087,485"
Brunei ,"$12,128,089,002"
Timor-Leste,"$2,954,621,000"
